date,clicks,conversions,cost,industry,customer,publisher,target_cpa
2019-12-12,2565,84,1513.45,W,1,C,40
2019-12-16,2262,36,1260.89,W,1,C,40
2019-12-18,2672,51,2154.48,V,4,C,35
2019-12-12,41,0,51.97,V,4,E,35
2019-12-16,85,1,135.34,V,4,E,35
2019-12-13,3,0,3.45,V,4,A,35
2019-12-12,136,4,94.79,V,4,B,35
2019-12-14,11,0,10.94,T,6,B,25
2019-12-18,8,1,7.62,T,6,C,25
2019-12-20,196,1,239.97,W,1,E,40
2019-12-21,230,11,152.37,U,2,C,25
2019-12-21,102,0,87.4,V,4,F,35
2019-12-22,437,5,251.58,W,1,C,40
2019-12-23,1091,37,1053.53,V,4,C,35
2019-12-24,224,1,159.88,U,5,C,25
2019-12-24,248,3,310.8,U,5,A,25
2019-12-24,180,0,153.43,V,4,H,35
2019-12-24,5,0,7.97,W,1,E,40
2019-12-24,7,0,5.6,V,4,E,35
2019-12-26,747,14,382.06,V,4,C,35
2019-12-26,583,33,391.68,V,4,A,35
2019-12-27,15,0,11.06,W,1,E,40
2019-12-28,158,1,140.09,U,5,B,25
2019-12-28,6,3,3.39,V,4,A,35
2019-12-28,32,0,27.49,V,4,F,35
2019-12-29,58,1,62.76,W,1,C,40
2019-12-30,671,19,841.41,U,5,A,25
2019-12-30,257,5,152.6,U,5,C,25
2019-12-30,447,5,508.64,V,4,B,35
2019-12-31,227,10,212.14,V,4,B,35
2019-12-31,12,0,14.15,W,1,E,40
2020-01-02,600,35,335.16,U,2,C,25
2020-01-04,80,0,49.15,U,5,C,25
2020-01-05,94,8,59.28,V,4,C,35
2020-01-06,668,18,807.33,U,5,A,25
2020-01-06,86,0,128.12,V,4,E,35
2020-01-06,6,0,5.85,U,2,E,25
2020-01-06,2,0,1.42,V,4,H,35
2020-01-07,215,1,137.98,U,5,C,25
2020-01-09,152,0,71.76,U,5,C,25
2020-01-09,72,4,91.77,U,5,A,25
2020-01-10,201,17,161.0,V,4,A,35
2020-01-10,107,1,43.83,U,5,C,25
2020-01-10,154,14,183.94,Y,3,A,25
2020-01-10,3,0,1.23,Y,3,C,25
2020-01-11,6,0,4.98,U,2,E,25
2020-01-11,32,2,27.76,Y,3,E,25
2020-01-12,19,2,16.13,Y,3,E,25
2020-01-12,13,0,11.4,V,4,E,35
2020-01-13,82,1,70.19,Y,3,E,25
2020-01-13,42,0,39.49,U,5,E,25
2020-01-13,119,2,85.62,Y,3,B,25
2020-01-14,13,4,13.42,V,4,C,35
2019-10-23,7,0,6.6,V,4,E,35
2019-10-25,9,1,8.28,T,6,B,25
2019-10-28,6,0,5.3,T,6,C,25
2019-10-31,3,0,3.57,W,1,H,40
2019-10-31,2,0,2.39,U,5,A,25
2019-11-02,1,1,0.98,U,5,C,25
2019-11-07,17,10,17.16,T,6,E,25
2019-11-08,15,0,7.53,T,7,B,15
2019-11-08,8,4,3.28,T,7,E,15
2019-11-09,6,2,2.56,T,7,A,15
2019-11-23,1,0,0.75,U,5,B,25
2019-11-28,23,0,29.5,W,1,H,40
2019-12-10,5,3,3.2,W,1,D,40
2019-12-15,7,1,7.99,W,1,H,40
2019-12-14,3,1,2.43,W,1,D,40
2019-10-16,27,0,26.22,T,6,B,25
